Nome do Evento;Link de Inscrição;Link da Imagem;Data;Horário;Cidade;Distância;Organizador;Preço;Link do Edital
4ª MARATONA DE JOÃO PESSOA;https://www.ticketsports.com.br/e/maratona-de-joao-pessoa-2026-73080;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/ae3d3015e351491881e7dd0bc9c2089e.png;19 de Abril de 2026;04:00;João Pessoa;5km, 10km, 21km e 42km (corrida);ZENITE ESPORTES;"KIT ATLETA PADRÃO — 5km — R$ 110,00 (+8,80 taxa); KIT ATLETA PADRÃO — 10km — R$ 110,00 (+8,80 taxa); KIT ATLETA PADRÃO — 21km — R$ 130,00 (+10,40 taxa); KIT ATLETA PADRÃO — 42km — R$ 150,00 (+12,00 taxa); KIT ATLETA PCD - deficiência visual, motora, mental ou auditiva — 5km — R$ 110,00 (+8,80 taxa); KIT ATLETA PCD - deficiência visual, motora, mental ou auditiva — 10km — R$ 110,00 (+8,80 taxa); KIT ATLETA PCD - deficiência visual, motora, mental ou auditiva — 21km — R$ 130,00 (+10,40 taxa); KIT ATLETA PCD - deficiência visual, motora, mental ou auditiva — 42km — R$ 150,00 (+12,00 taxa); KIT ATLETA +60 ANOS — 5km — R$ 110,00 (+8,80 taxa); KIT ATLETA +60 ANOS — 10km — R$ 110,00 (+8,80 taxa); KIT ATLETA +60 ANOS — 21km — R$ 130,00 (+10,40 taxa); KIT ATLETA +60 ANOS — 42km — R$ 150,00 (+12,00 taxa)";edital não encontrado
MEIA MARATONA DE PATOS;https://www.ticketsports.com.br/e/meia-maratona-de-patos-2025-71727;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/193a43b4a44e4767bc779b1367f19fce.png;17 de Maio de 2026;05:00;Patos;5km, 10km e 21km (corrida);RUN;"KIT ATLETA PADRÃO — 5km — R$ 59,90 (+5,00 taxa); KIT ATLETA PADRÃO — 10km — R$ 59,90 (+5,00 taxa); KIT ATLETA PADRÃO — 21km — R$ 69,90 (+5,59 taxa)";edital não encontrado
CORRIDA PELA VIDA;https://www.084sports.com.br/evento/corrida-pela-vida;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/34fd900d3c0243609302fa3347fc8c7b.png;01 de Março de 2026;;Catolé do Rocha;5km (corrida);AMIGOS DA CORRIDA;"CORRIDA 5KM — PCD — R$ 40,00; CORRIDA 5KM — LOCAL — R$ 80,00; CORRIDA 5KM — GERAL — R$ 80,00; CORRIDA 5KM — SEGURANÇA PÚBLICA — R$ 80,00";edital não encontrado
CIRCUITO S3 RUN ETAPA SOUSA;https://correparaiba.com.br/circuito-s3-run-etapa-sousa-pb;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/834a05466e844893954a36f860ccef91.png;08 de Março de 2026;;Sousa;3km e 5km (corrida);ACADEMIA S3 FITNESS;"CATEGORIA PCD 3 KM - MASCULINO — R$ 39,95; CATEGORIA PCD 5 KM - FEMININO — R$ 44,94; CATEGORIA PCD 3 KM - FEMININO — R$ 44,95; CATEGORIA PCD 5 KM - MASCULINO — R$ 44,95; CATEGORIA ALUNO ISIS FITNESS 3 KM - FEMININO — R$ 89,90; CATEGORIA ALUNO ISIS FITNESS 3 KM - MASCULINO — R$ 89,90; CATEGORIA ALUNO ISIS FITNESS 5 KM - FEMININO — R$ 89,90; CATEGORIA ALUNO ISIS FITNESS 5 KM - MASCULINO — R$ 89,90; CATEGORIA GERAL 3 KM - FEMININO — R$ 89,90; CATEGORIA GERAL 3 KM - MASCULINO — R$ 89,90; CATEGORIA GERAL 5 KM - FEMININO — R$ 89,90; CATEGORIA GERAL 5 KM - MASCULINO — R$ 89,90";edital não encontrado
R1 RUN;https://correparaiba.com.br/r1-run;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/605113f522bb4b9d89b0648908099666.png;14 de Março de 2026;;Itaporanga;5km (corrida);ACADEMIA R1 BODY CENTER;"CATEGORIA 5 KM PCD - FEMININO — R$ 45,00; CATEGORIA 5 KM PCD - MASCULINO — R$ 45,00; CATEGORIA 5 KM ALUNO R1 ACADEMIA – FEMININO — R$ 70,00; CATEGORIA 5 KM ALUNO R1 ACADEMIA – MASCULINO — R$ 70,00; CATEGORIA 5 KM GERAL - FEMININO — R$ 90,00; CATEGORIA 5 KM GERAL - MASCULINO — R$ 90,00; CATEGORIA 5 KM LOCAL – FEMININO — R$ 90,00; CATEGORIA 5 KM LOCAL – MASCULINO — R$ 90,00";edital não encontrado
5ª CORRIDA CONTRA DO CÂNCER;https://zeniteesportes.com/corridacontraocancer2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/5c7a57c945d04a6f8218111176d179dd.png;22 de Fevereiro de 2026;06:00;João Pessoa;3km (caminhada), 5km e 10km (corrida);FUNDAÇÃO NAPOLEÃO LAUREANO;R$ 99,90;edital não encontrado
1ª CORRIDA CORRE BARAÚNA;https://www.ingresso84.com.br/evento/684/1a-corrida-corre-barauna;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/c543fae4a9c249a49b096ba8f0fd1377.png;15 de Março de 2026;;Baraúna;5km (corrida);PREFEITURA MUNICIPAL;"R$ 70,00; R$ 80,00";edital não encontrado
RAROS RUN;https://www.race83.com.br/evento/5022/raros-run-2025;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/8ef26f30cb024a48840b6ecbc36fce61.png;01 de Março de 2026;;João Pessoa;3km (caminhada), 5km e 10km (corrida);PACE4 l TRCRONO;"5KM — PCD NÃO CADEIRANTE — R$ 64,95; 5KM — PÚBLICO GERAL — R$ 99,90; 5KM — PCD CADEIRANTE — R$ 99,90; FAMILY RUN (KIDS) ATÉ 12 ANOS — R$ 99,90; CAMINHADA 3KM — PÚBLICO GERAL — R$ 99,90; CAMINHADA 3KM — PCD CADEIRANTE — R$ 99,90; CAMINHADA 3KM — PCD NÃO CADEIRANTE — R$ 99,90";edital não encontrado
VIII CORRIDA FEMININA;https://www.race83.com.br/evento/8129/viii-corrida-feminina-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/1cc00017593d419a8296e1e489d2f9d1.png;07 de Março de 2026;;João Pessoa;;5km (corrida - feminina);"5KM — PÚBLICO GERAL — R$ 89,90; 5KM — SÓCIO CAIXA BENEFICENTE — R$ 89,90; 3KM CAMINHADA — PÚBLICO GERAL — R$ 89,90; 3KM CAMINHADA — SÓCIO CAIXA BENEFICENTE — R$ 89,90";https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-e3c45108e93d26737ca663421f75f984.pdf
ULTRAMARATONA PEIXE-BOI;https://www.race83.com.br/evento/4168/ultramaratona-peixe-boi-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/31360345651b42aaa6373002c9a20bf0.png;07 de Março de 2026;;Lucena;;PACE4;"50KM — SOLO — R$ 169,00; 25KM — SOLO — R$ 169,00; 50KM — DUPLA MASCULINO — R$ 260,00; 50KM — DUPLA FEMININO — R$ 260,00; 50KM — DUPLA MISTA — R$ 260,00; 25KM — DUPLA MASCULINO — R$ 260,00; 25KM — DUPLA FEMININO — R$ 260,00; 25KM — DUPLA MISTA — R$ 260,00";https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-8d34054446ba007527e7652591203adf.pdf
