Nome do Evento;Link de Inscrição;Link da Imagem;Data;Horário;Cidade;Distância;Organizador;Preço;Link do Edital;precos_entries
Hb Run;https://www.smcrono.com.br/evento/2025/corrida-de-rua/hb-run;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-c36d51a98ca9160699efc867c187ca91.jpg;1 de março de 2026;06h00;Areia;5km (corrida), 10km (corrida), 3km (corrida);SmCrono;R$ 64,90 a R$ 89,99;edital não encontrado;"[""R$ 64,90 | 3KM — BÁSICO SEM CAMISA"", ""R$ 64,90 | 5KM — BÁSICO SEM CAMISA"", ""R$ 64,90 | 10KM — BÁSICO SEM CAMISA"", ""R$ 89,99 | 3KM — GERAL"", ""R$ 89,99 | 3KM — IDOSO 60+"", ""R$ 89,99 | 5KM — GERAL"", ""R$ 89,99 | 5KM — IDOSO 60+"", ""R$ 89,99 | 10KM — GERAL"", ""R$ 89,99 | 10KM — IDOSO 60+""]"
2 Trote Carnavalesco Oscar Diesel;https://www.smcrono.com.br/evento/2026/corrida-de-rua/2-trote-carnavalesco-oscar-diesel;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-1d19aaf24d89813e4270380bf00090a0.jpeg;22 de fevereiro de 2026;07h00;Campina Grande;;SmCrono;R$ 80,00;edital não encontrado;"[""R$ 80,00 | GERAL""]"
Corrida Dos Reis;https://www.smcrono.com.br/evento/2026/corrida-de-rua/corrida-dos-reis;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-f746b96928898a2eb6a9798fd1253763.jpg;25 de janeiro de 2026;06h30;Queimadas;6km (corrida);SmCrono;Valor não encontrado;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-4e3fc2d7cd7b0509245487fe9e154b88.pdf;[]
1 Corrida Cidade Da F Fagundes;https://www.smcrono.com.br/evento/2026/corrida-de-rua/1-corrida-cidade-da-f-fagundes;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-57-31b1c4a08104f4855b7667bf45727aa2.jpeg;22 de março de 2026;;Fagundes;5km (corrida), 3km (corrida);SmCrono;R$ 45,90 a R$ 79,90;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-91a026a7a90ced19c83b14985aacd9f3.pdf;"[""R$ 45,90 | 3 KM CAMINHADA — GERAL"", ""R$ 45,90 | 5 KM 60+ — GERAL"", ""R$ 79,90 | 3 KM CAMINHADA — GERAL"", ""R$ 79,90 | 5 KM GERAL — GERAL""]"
1 Corrida Acan Run Alagoa Nova Pb;https://www.smcrono.com.br/evento/2026/corrida-de-rua/1-corrida-acan-run-alagoa-nova-pb;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-5a21c79e224f76064a6cc322eb5e7362.jpg;18 de janeiro de 2026;06h00;Alagoa Nova;5km (corrida), 3km (corrida);SmCrono;Valor não encontrado;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-f18853679a94dc27ace706076fc1fbb2.pdf;[]
1 Corrida De Rua Distrito De Santa Terezinha;https://www.smcrono.com.br/evento/2026/corrida-de-rua/1-corrida-de-rua-distrito-de-santa-terezinha;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-e10eba8ea9dd5a2857ef8a679f772318.jpeg;18 de janeiro de 2026;07h30;Massaranduba;3km (corrida);SmCrono;Valor não encontrado;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-5c3da5608e25d28e0d73c971bc7e3ec9.pdf;[]
Corrida De Emancipao De Gurjao 64 Anos;https://www.smcrono.com.br/evento/2026/corrida-de-rua/corrida-de-emancipao-de-gurjao-64-anos;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-c39e7be73c78f7b7eb8e1f67e8552fc0.jpeg;2 de janeiro de 2026;06h00;Gurjao;;SmCrono;Valor não encontrado;edital não encontrado;[]
2 Corrida Runninr Teixeira;https://www.smcrono.com.br/evento/2026/corrida-de-rua/2-corrida-runninr-teixeira;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-323127f98d0d7374e5b8e4b47cdee746.jpg;25 de julho de 2026;17h00;Teixeira;5km (corrida);SmCrono;R$ 30,00 a R$ 60,00;edital não encontrado;"[""R$ 30,00 | 5 KM — PDC(NÃO CADEIRANTE)"", ""R$ 30,00 | 5 KM — LOCAL 60+"", ""R$ 30,00 | 5 KM — VISITANTE 60+"", ""R$ 60,00 | 5 KM — LOCAL"", ""R$ 60,00 | 5 KM — VISITANTE"", ""R$ 60,00 | 5 KM — SEGURANÇA PUBLICA""]"
Corrida Power Run;https://www.smcrono.com.br/evento/2026/corrida-de-rua/corrida-power-run;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-9bd0e3ea51155400aef8d6fd29594d44.jpeg;26 de abril de 2026;06h00;Alagoa Nova;5km (corrida), 10km (corrida), 3km (corrida);SmCrono;R$ 69,90;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-9dda5d6c364c77e4ed7a52a0bb2015e1.pdf;"[""R$ 69,90 | 3KM CAMINHADA — VISITANTE"", ""R$ 69,90 | 3KM CAMINHADA — LOCAL"", ""R$ 69,90 | 3KM CAMINHADA — 60+"", ""R$ 69,90 | 5KM — VISITANTE"", ""R$ 69,90 | 5KM — LOCAL"", ""R$ 69,90 | 5KM — 60+"", ""R$ 69,90 | 10KM — VISITANTE"", ""R$ 69,90 | 10KM — LOCAL"", ""R$ 69,90 | 10KM — PCD(não cadeirante)"", ""R$ 69,90 | 10KM — 60+""]"
Corrida De Rua De Serra Branca;https://www.smcrono.com.br/evento/2026/corrida-de-rua/corrida-de-rua-de-serra-branca;https://www.smcrono.com.br/thumb.php?q=100&h=500&arquivo=img-69-10318807d0343f25e9caed8a406324f7.jpeg;12 de abril de 2026;06h00;Serra Branca;5km (corrida);SmCrono;R$ 45,00 a R$ 70,00;https://www.smcrono.com.br/painel/upload/doc/inscricao/doc-69-c791e68c3aa315012e008e58d5c95b08.pdf;"[""R$ 45,00 | 5KM — 60+"", ""R$ 45,00 | 5KM — PCD NCAD (NÃO CADEIRANTE)"", ""R$ 50,00 | 5KM — LOCAL"", ""R$ 70,00 | 5KM — VISITANTE""]"
