Nome do Evento;Link de Inscrição;Link da Imagem;Data;Cidade;Distância;Organizador;Link do Edital
CORRIDA NOSSA SENHORA DAS DORES;https://tiquet.com.br/evento/2025-13-corrida-nossa-senhora-das-dores/;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/a680a7c17dd74f0f8e40167fe1c108ce.png;11 de Janeiro de 2026;Triunfo;5km e 10km (corrida);ONPOINT PRODUÇÕES;edital não encontrado
AGRESTE EXTREMO;https://www.084sports.com.br/evento/agresteextremo;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/28d68afd69184d5780c2f3b2918979d6.png;18 de Janeiro de 2026;Araruna;;AGRESTE EXTREMO;edital não encontrado
CORRIDA DE SÃO SEBASTIÃO;https://www.race83.com.br/evento/2026/corrida-de-rua/corrida-de-so-sebastio;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/888217d29fea49cfb81a9a93ee5ccd7d.png;11 de Janeiro de 2026;Pilõezinhos;3km (caminhada), 5km (corrida);;https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-9d157154080b79ee3e1eb18a7e2706b6.pdf
CORRIDA DE ANIVERSÁRIO LYRUN ASSESSORIA;https://www.sympla.com.br/evento/corrida-de-aniversario-lyrun-assessoria/3138338;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/1d00e09079e54a0180fa7ec83320a4ec.png;11 de Janeiro de 2026;João Pessoa;5km e 8km (corrida);LYRUN ASSESSORIA;edital não encontrado
TR EXPLORE ETAPA BANANEIRAS;https://www.race83.com.br/evento/2026/trail-run/tr-explore-etapa-bananeiras;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/f81407751fe247d1bb4014554db03b08.png;11 de Janeiro de 2026;Bananeiras;400m à 1km (infantil), 3km (caminhada);+SPORTS;https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-8a61261de0eede428dbb4cea7cdec66b.pdf
CIRCUITO DE CORRIDA ZONA SUL ETAPA VALENTINA;https://zeniteesportes.com/circuitozonasulvalentina;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/22cd922b75014d3daed3146cfccebcf7.png;18 de Janeiro de 2026;João Pessoa;5km (corrida);TOP LINE SPORTS;edital não encontrado
1ª CORRIDA PAPA-LÉGUAS;https://www.timecrono.com.br/evento/1647/1-corrida-papa-leguas-pb;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/2dbab91448384b54bf6c9ce2e5709f7e.png;08 de Fevereiro de 2026;Caaporã;3km (caminhada), 7km (corrida);;edital não encontrado
VIBE RUN BEACH;https://www.race83.com.br/evento/2026/corrida-de-rua/vibe-run-beach-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/8d084cd56400493e814f63dd6796b2f9.png;18 de Janeiro de 2026;Pitimbú;3km (caminhada), 5km e 10km (corrida);;https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-06b6ff00b6d40ac511972d3fae361ba2.pdf
CORRIDA LUZ;https://www.race83.com.br/evento/2026/corrida-de-rua/corrida-luz-2026;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/c016ab2f0c1a4f9a978b26c450a3d916.png;25 de Janeiro de 2026;Guarabira;5km (corrida);PARÓQUIA DE NOSSA SENHORA DA LUZ;https://www.race83.com.br/painel/upload/doc/inscricao/doc-07-60a1d76041c4a3e41b6670a1b3b6bbc8.pdf
RAROS RUN;https://www.race83.com.br/evento/5022/raros-run-2025;https://yata-apix-b6a73c78-1100-48ad-9374-0a41af79d029.s3-object.locaweb.com.br/8ef26f30cb024a48840b6ecbc36fce61.png;01 de Março de 2026;João Pessoa;3km (caminhada), 5km e 10km (corrida);PACE4 l TRCRONO;edital não encontrado
